EntrezID;EnsemblID;LogFC
80000;ENSG00000141449;-1.208338806
339005;ENSG00000187667;-1.206566048
9241;ENSG00000183691;-1.205529009
9246;ENSG00000156587;-1.20026035
10446;ENSG00000170382;-1.199961516
162461;ENSG00000167105;-1.199048504
9781;ENSG00000151692;-1.196085043
51203;ENSG00000137804;-1.194221548
221178;ENSG00000228741;-1.193899877
79733;ENSG00000129173;-1.193863167
1188;ENSG00000184908;-1.191824758
57821;ENSG00000117477;-1.191365495
255031;ENSG00000235314;-1.188801453
1730;ENSG00000147202;-1.188420954
80054;ENSG00000267296;-1.187520823
9700;ENSG00000135476;-1.183306998
6585;ENSG00000187122;-1.179534227
9319;ENSG00000071539;-1.173282393
9882;ENSG00000136111;-1.171619809
9824;ENSG00000198826;-1.166458889
891;ENSG00000134057;-1.163528946
219790;ENSG00000182010;-1.161574764
100506142;ENSG00000250116;-1.160402313
219749;ENSG00000175395;-1.159569445
79896;ENSG00000185875;-1.158758335
145407;ENSG00000139971;-1.155418187
197257;ENSG00000166816;-1.154845097
219931;ENSG00000162341;-1.151582575
7454;ENSG00000015285;-1.151426232
445;ENSG00000130707;-1.151329528
27164;ENSG00000256463;-1.150878666
645369;ENSG00000206432;-1.147756913
50848;ENSG00000158769;-1.147173032
54443;ENSG00000011426;-1.146841289
643401;ENSG00000250337;-1.144842395
100506757;ENSG00000227060;-1.143724272
100125556;ENSG00000171084;-1.143052738
8458;ENSG00000116830;-1.142026728
152687;ENSG00000272602;-1.141234892
3832;ENSG00000138160;-1.139937271
404201;ENSG00000180769;-1.139769738
3795;ENSG00000138030;-1.136310907
101930452;ENSG00000260423;-1.134562235
148170;ENSG00000167617;-1.132505176
28232;ENSG00000176463;-1.130722761
100132074;ENSG00000204060;-1.123919691
692072;ENSG00000239195;-1.122565607
5347;ENSG00000166851;-1.121911444
8317;ENSG00000097046;-1.120572512
91057;ENSG00000109881;-1.120439066
NA;ENSG00000121753;-1.117517715
440081;ENSG00000214826;-1.115648554
2100;ENSG00000140009;-1.111341057
5046;ENSG00000140479;-1.111268503
25780;ENSG00000152689;-1.108877714
9132;ENSG00000117013;-1.10657663
285513;ENSG00000185477;-1.105167298
28999;ENSG00000163884;-1.103578026
256764;ENSG00000166415;-1.103249093
8913;ENSG00000006283;-1.103023127
114804;ENSG00000141576;-1.102942541
57730;ENSG00000196912;-1.092003192
11178;ENSG00000061337;-1.090802462
4257;ENSG00000008394;-1.090605693
80005;ENSG00000147459;-1.089731784
3213;ENSG00000120093;-1.089595943
9610;ENSG00000174791;-1.089456635
699;ENSG00000169679;-1.087513352
57406;ENSG00000163686;-1.086945686
4185;ENSG00000073670;-1.08680766
266727;ENSG00000112139;-1.086032556
7164;ENSG00000111907;-1.083013482
4846;ENSG00000164867;-1.081331443
55215;ENSG00000140525;-1.080345256
5596;ENSG00000141639;-1.076310967
5596;ENSG00000262673;-1.076310967
NA;ENSG00000173698;-1.075824462
1123;ENSG00000128656;-1.074853796
83857;ENSG00000133687;-1.072258513
100287227;ENSG00000243926;-1.070047611
116028;ENSG00000175643;-1.069565277
9620;ENSG00000075275;-1.068117478
29902;ENSG00000204856;-1.067483481
81930;ENSG00000121621;-1.067317093
55601;ENSG00000137628;-1.066765068
22974;ENSG00000088325;-1.065123316
142;ENSG00000143799;-1.064871428
645332;ENSG00000160172;-1.06237259
146956;ENSG00000154920;-1.062360588
83478;ENSG00000138639;-1.060881777
1075;ENSG00000109861;-1.059297268
91522;ENSG00000050767;-1.059280612
727936;ENSG00000172986;-1.05887217
64087;ENSG00000131844;-1.058847455
144404;ENSG00000188735;-1.057091845
57578;ENSG00000133958;-1.055934266
65982;ENSG00000121413;-1.055475343
1894;ENSG00000114346;-1.053582489
84251;ENSG00000118473;-1.05153692
7083;ENSG00000167900;-1.04938874
637;ENSG00000015475;-1.046360474
157638;ENSG00000168672;-1.046293673
57685;ENSG00000158966;-1.046076642
8543;ENSG00000143013;-1.044713395
84561;ENSG00000221955;-1.042978749
219;ENSG00000137124;-1.038053534
9074;ENSG00000184697;-1.035850834
4522;ENSG00000100714;-1.033043747
80164;ENSG00000183248;-1.030903786
